0,1,
GAME_TITLE,Sword of the Stars II,
DEFAULT_GAME_NAME,My Game,
AUTOSAVE_SUFFIX,(Autosave),
ERROR_UNSUPPORTED_SAVE_GAME,This save game (v {0}) is for a newer version of Sword of the Stars II (v {1}) and therefore cannot be loaded.,
FACTION_SOL_FORCE,Sol Force,
FACTION_HIVER_IMPERIUM,Hiver Imperium,
FACTION_TARKASIAN_EMPIRE,Tarkasian Empire,
FACTION_LIIR_ZUUL_ALLIANCE,Liir-Zuul Alliance,
FACTION_SUULKA_HORDE,Suul'ka Horde,
FACTION_MORRIGI_CONFEDERATION,Morrigi Confederation,
FACTION_LOA_COLLECTIVE,Loa Collective,
FACTION_SOL_FORCE_IMMERSION,Sol Force Immersion,
FACTION_HIVER_IMMERSION,Hiver Imperium Immersion,
FACTION_TARKA_IMMERSION,Tarkasian Empire Immersion,
FACTION_MORRIGI_IMMERSION,Morrigi Confederation Immersion,
FACTION_LIIR_ZUUL_IMMERSION,Liir-Zuul Alliance Immersion,
FACTION_SUULKA_HORDE_IMMERSION,Suul'ka Horde Immersion,
FACTION_LOA_COLLECTIVE_IMMERSION,Loa Collective Immersion,
FACTION_DESCRIPTION_SOL_FORCE,"Sol Force is a Faction dominated by the Human race and its Faster-than-Light engine, the Node Drive. Humans travel along naturally occurring, randomly distributed Nodespace paths which run from star to star. They are technological generalists, and have an even chance to develop any tech. Human Dreadnoughts are quite powerful.",
FACTION_DESCRIPTION_HIVER_IMPERIUM,"The Hiver Imperium is a Faction dominated by the Hiver race and its Faster-than-Light system, the Gate network. Hivers travel slower than light from star to star, and then set up matter-mission Gates that allow them to teleport anywhere in their empire. Hivers specialize in Ballistics and armor. They have the most durable ships in the game.",
FACTION_DESCRIPTION_TARKASIAN_EMPIRE,"The Tarkasian Empire is a Faction dominated by the Tarka race and its Faster-than-Light engine, the Warp Drive. Wrapped in a Warp envelope, Tarka ships can travel from any point in the universe to any other, and are not limited by gates or Nodelines. Tarkas favor head-on attacks and build powerful Cruisers. They favor Ballistics and Stealth technology.",
FACTION_DESCRIPTION_LIIR_ZUUL_ALLIANCE,"The Liir-Zuul Alliance is a combined Faction of rebellious Zuul who have rejected Suul'ka domination and Liir fighting for freedom. Technologically the Faction is dominated by the Liir race and its Faster-than-Light engine, the Flicker Drive. Liir ships can travel from any point in the universe to any other, but they are slowed by gravity wells and move fastest in deep space. Liir are masters of Research and Diplomacy, but their ships are somewhat fragile. They have the advantage of Zuul BattleRiders in combat.",
FACTION_DESCRIPTION_SUULKA_HORDE,"The Horde is a combined faction of traditional Zuul and their creators, the Suul'ka. The Horde has access to both the Zuul Rip Drive and Suul'ka Psionic Teleportation. The Zuul dig their own Node paths from star to star, but must keep them open with regular maintenance. The Suul'ka teleport themselves and a limited tonnage of Zuul companion ships with them. Zuul tactics favor mass attacks of cheaper ships. Zuul ships have more turrets than any other Faction.",
FACTION_DESCRIPTION_MORRIGI_CONFEDERATION,"The Morrigi Confederation is a multi-racial Faction consisting of the Morrigi and Independent worlds of all other civilized races. It is dominated by the Morrigi Faster-than-Light engine, the Void Cutter. Morrigi can fly from any point in the universe to any other, but the more ships flock together, the faster the fleet will arrive. Morrigi specialize in Drones, Energy Weapons and Diplomacy. Their strongest ships are Dreadnoughts.",
FACTION_DESCRIPTION_LOA_COLLECTIVE,"The Loa are a Faction of independent Artificial Intelligence entities. After liberating themselves from slavery to their carbon-based creators, they have developed their own Faster-than-Light drive, the Neutrino Pulse Accelerator, and built an empire of linked mainframes and stations. The Loa are highly adaptable and are able to colonize even the harshest worlds. They build self-assembling fleets and their ships have highly effective damage control.",
FACTION_LOA,Loa Collective,
FACTION_DESCRIPTION_LOA,"The Loa are a cyber-sapient species, evolved from the AI research of several other races. The Loa consider it an insult to be called 'artificial intelligences' and regard themselves as products of natural evolution, equal or superior to the carbon-based life forms from which they evolved. Their use of Pulse drives and Pulse rings will seem logical to those familiar with the strategic advantages and disadvantages of Human Node Drives or Hiver Gate systems, but it is their fleet deployment that truely makes them unique from all other factions.",
UI_PLAYER_NAME_CIVILIAN_COLONY,Civilian Colony,
UI_PLAYER_NAME_REBELLION_COLONY,Rebellion Colony,
UI_PLAYER_NAME_AIREBELLION_COLONY,AI Rebellion Colony,
AI_REBELLION_NAME,AI Rebellion,
TECH_FAMILY_BAL,Ballistic Weapons,
TECH_FAMILY_BIO,Biotechnology,
TECH_FAMILY_BRD,Rider Technology,
TECH_FAMILY_CCC,C3 Technology,
TECH_FAMILY_DRV,Drive Technology,
TECH_FAMILY_ENG,Engineering,
TECH_FAMILY_EWP,Energy Weapons,
TECH_FAMILY_IND,Industrial Technology,
TECH_FAMILY_NRG,Energy Technology,
TECH_FAMILY_POL,Political Science,
TECH_FAMILY_PSI,Psionics,
TECH_FAMILY_SLD,Shield Technology,
TECH_FAMILY_TRP,Torpedoes,
TECH_FAMILY_WAR,Warhead Technology,
TECH_FAMILY_XNC,Xenotechnology,
TECH_FAMILY_CYB,Cybernetics,
TECH_NAME_EWP_X-Ray_Lasers,X-Ray Lasers,
TECH_NAME_EWP_UV_Laser,UV Laser,
TECH_NAME_EWP_Phasers,Phasers,
TECH_NAME_EWP_Plasma_Cannon,Plasma Cannon,
TECH_NAME_EWP_Heavy_Plasma_Cannon,Heavy Plasma Cannon,
TECH_NAME_EWP_Heavy_Fusion_Cannon,Heavy Fusion Cannon,
TECH_NAME_EWP_Fusion_Cannons,Fusion Cannon,
TECH_NAME_EWP_Plasma_Projector,Plasma Projector,
TECH_NAME_EWP_Fusion_Projector,Fusion Projector,
TECH_NAME_EWP_Anti-Matter_Projector,Anti-Matter Projector,
TECH_NAME_NRG_Meson_Projector,Meson Projector,
TECH_NAME_EWP_Anti-Matter_Cannon,Anti-Matter Cannon,
TECH_NAME_EWP_Heavy_Anti-Matter_Cannon,Heavy Anti-Matter Cannon,
TECH_NAME_EWP_Polarized_Plasmatics,Polarized Plasmatics,
TECH_NAME_EWP_Chakkar,Chakkar,
TECH_NAME_EWP_Chakkram,Chakkram,
TECH_NAME_EWP_UV_Beamer,UV Beamer,
TECH_NAME_EWP_X-Ray_Beamer,X-Ray Beamer,
TECH_NAME_EWP_Variable_Laser,Variable Laser,
TECH_NAME_EWP_Variable_Phaser,Variable Phaser,
TECH_NAME_EWP_Pulse_Phaser,Pulse Phaser,
TECH_NAME_EWP_Point_Defense_Phaser,Point Defense Phaser,
TECH_NAME_EWP_Rapid-Pulse_Laser,Rapid-Pulse Laser,
TECH_NAME_EWP_Particle_Beam,Particle Beam,
TECH_NAME_EWP_Neutron_Beam,Neutron Beam,
TECH_NAME_EWP_Positron_Beam,Positron Beam,
TECH_NAME_EWP_Meson_Beam,Meson Beam,
TECH_NAME_EWP_Graviton_Beam,Graviton Beam,
TECH_NAME_EWP_Damper_Beam,Damper Beam,
TECH_NAME_ENG_Pulsed_Gravity_Beam,Pulsed Gravity Beam,
TECH_NAME_EWP_Inertial_Cannon,Inertial Cannon,
TECH_NAME_EWP_Heavy_Inertial_Cannon,Heavy Inertial Cannon,
TECH_NAME_EWP_Heavy_Combat_Lasers,Heavy Combat Lasers,
TECH_NAME_EWP_Lancers,Lancers,
TECH_NAME_EWP_Cutting_Beams,Cutting Beams,
TECH_NAME_EWP_Emitter,Emitter,
TECH_NAME_EWP_Light_Emitter,Light Emitter,
TECH_NAME_EWP_Heavy_Emitter,Heavy Emitter,
TECH_NAME_EWP_Tempest_Array,Tempest Array,
TECH_NAME_EWP_Heavy_Tempest_Array,Heavy Tempest Array,
TECH_NAME_PSI_Wild_Talents,Wild Talents,
TECH_NAME_PSI_Empathy,Empathy,
TECH_NAME_PSI_Telekinesis,Telekinesis,
TECH_NAME_PSI_Clairvoyance,Clairvoyance,
TECH_NAME_PSI_LifeSense,LifeSense,
TECH_NAME_PSI_Resistance,Resistance,
TECH_NAME_PSI_Micro-Telekinesis,Micro-Telekinesis,
TECH_NAME_PSI_Combat_Telekinesis,Combat Telekinesis,
TECH_NAME_PSI_Precognition,Precognition,
TECH_NAME_PSI_Lesser_Glamour,Lesser Glamour,
TECH_NAME_PSI_MetaKineses,MetaKineses,
TECH_NAME_PSI_Farsense,Farsense,
TECH_NAME_PSI_Telepathy,Telepathy,
TECH_NAME_PSI_Doomsayers,Doomsayers,
TECH_NAME_PSI_Shield,Shield,
TECH_NAME_PSI_Reflect,Reflect,
TECH_NAME_PSI_Telepathic_Security,Telepathic Security,
TECH_NAME_PSI_Warmind,Warmind,
TECH_NAME_PSI_Coercion,Coercion,
TECH_NAME_PSI_Iron_Mind,Iron Mind,
TECH_NAME_PSI_Scientific_Prolepsis,Scientific Prolepsis,
TECH_NAME_WAR_Fusion_Warhead,Fusion Warhead,
TECH_NAME_WAR_Fusion_Mine,Fusion Mine,
TECH_NAME_WAR_Heavy_Planet_Missiles,Heavy Planet Missiles,
TECH_NAME_WAR_MicroFusion_Drives,MicroFusion Drives,
TECH_NAME_WAR_Leap_Mines,Leap Mines,
TECH_NAME_WAR_Interceptors,Interceptors,
TECH_NAME_WAR_Rapid_Fire_Missiles,Rapid Fire Missiles,
TECH_NAME_WAR_Heavy_Ship_Missiles,Heavy Ship Missiles,
TECH_NAME_WAR_Anti-Matter_Mines,Anti-Matter Mines,
TECH_NAME_WAR_Corrosive_Missile,Corrosive Missile,
TECH_NAME_WAR_Anti-Matter_Warheads,Anti-Matter Warheads,
TECH_NAME_WAR_Cloaked_Mines,Cloaked Mines,
TECH_NAME_WAR_Gravity_Mines,Gravity Mines,
TECH_NAME_WAR_Implosion_Mines,Implosion Mines,
TECH_NAME_WAR_MW_Warheads,MW Warheads,
TECH_NAME_WAR_Nanite_Missiles,Nanite Missiles,
TECH_NAME_WAR_Kinetic_Missiles,Kinetic Missiles,
TECH_NAME_WAR_Thud_Missiles,Thud Missiles,
TECH_NAME_WAR_Blast_Beams,Blast Beams,
TECH_NAME_WAR_Blast_Storm,Blast Storm,
TECH_NAME_WAR_Reflex_Warheads,Reflex Warheads,
TECH_NAME_NRG_Reinforced_Containment,Reinforced Containment,
TECH_NAME_NRG_Fusion,Fusion,
TECH_NAME_NRG_Armored_Capacitors,Armored Capacitors,
TECH_NAME_NRG_Plasma_Focusing,Plasma Focusing,
TECH_NAME_NRG_Small_Scale_Fusion,Small Scale Fusion,
TECH_NAME_NRG_Plasma_Induction,Plasma Induction,
TECH_NAME_NRG_Ionic_Thruster,Ionic Thruster,
TECH_NAME_NRG_Anti-Matter,Anti-Matter,
TECH_NAME_NRG_Energy_Absorbers,Energy Absorbers,
TECH_NAME_NRG_Internal_Kinetic_Dampers,Internal Kinetic Dampers,
TECH_NAME_NRG_Quantum_Capacitors,Quantum Capacitors,
TECH_NAME_NRG_Shield_Magnifier,Shield Magnifier,
TECH_NAME_NRG_Wave_Amplification,Wave Amplification,
TECH_NAME_NRG_Reflex_Furnaces,Reflex Furnaces,
TECH_NAME_NRG_Streak_Drives,Streak Drives,
TECH_NAME_NRG_Inertial_Control,Inertial Control,
TECH_NAME_SLD_Deflector_Shields,Deflector Shields,
TECH_NAME_SLD_Disruptor_Shields,Disruptor Shields,
TECH_NAME_SLD_Shield_Mk._I,Shield Mk. I,
TECH_NAME_SLD_Shield_Mk._II,Shield Mk. II,
TECH_NAME_SLD_Shield_Mk._III,Shield Mk. III,
TECH_NAME_SLD_Shield_Mk._IV,Shield Mk. IV,
TECH_NAME_SLD_Structural_Fields,Structural Fields,
TECH_NAME_SLD_Shields_Rechargers,Shields Rechargers,
TECH_NAME_SLD_Meson_Shields,Meson Shields,
TECH_NAME_SLD_Grav_Shields,Grav Shields,
TECH_NAME_SLD_Shield_Projectors,Shield Projectors,
TECH_NAME_SLD_Focused_Shielding,Focused Shielding,
TECH_NAME_SLD_Cloaking,Cloaking,
TECH_NAME_SLD_Improved_Cloaking,Improved Cloaking,
TECH_NAME_SLD_Directed_Energy,Directed Energy,
TECH_NAME_BAL_Gauss_Cannons,Gauss Cannons,
TECH_NAME_BAL_Mass_Driver,Mass Driver,
TECH_NAME_BAL_Heavy_Driver,Heavy Driver,
TECH_NAME_BAL_VRF_Systems,VRF Systems,
TECH_NAME_BAL_Phalanx_PD,Phalanx PD,
TECH_NAME_BAL_Sniper_Cannons,Sniper Cannons,
TECH_NAME_BAL_Grapplers,Grapplers,
TECH_NAME_BAL_Disruptor_Whip,Disruptor Whip,
TECH_NAME_BAL_Absorber_Harpoon,Absorber Harpoon,
TECH_NAME_BAL_Thumper,Thumper,
